dimension,value,pages,pages_with_buy_intent,impressions,clicks,impressions_per_page,avg_position
type,comparison,14,14,1316,1,94.0,72.2
type,brand-comparison,3,3,503,1,167.7,32.6
cluster,ashwagandha,7,7,440,0,62.9,69.1
cluster,magnesium-glycinate,4,4,391,0,97.8,70.5
cluster,saffron-extract,5,5,381,1,76.2,18.7
cluster,omega-3-fish-oil,3,3,308,0,102.7,70.8
cluster,vitamin-d3,3,3,299,0,99.7,67.8
cluster,l-theanine,6,6,240,0,40.0,82.0
type,timing,2,2,154,0,77.0,66.2
cluster,rhodiola-rosea,3,3,124,0,41.3,73.8
type,dosage,5,5,82,0,16.4,67.8
type,pillar,2,2,80,0,40.0,76.1
type,interaction,4,4,52,0,13.0,47.7
cluster,5-htp,3,3,30,0,10.0,54.0
type,duration,3,3,28,0,9.3,41.4
cluster,b-complex,3,3,22,1,7.3,18.9
type,explainer,2,2,16,0,8.0,64.2
type,safety,2,2,4,0,2.0,26.0
