query,page,clicks,impressions,ctr,position,agent_score,agent_reasons
memorial sloan kettering 5-htp interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,15,0.0,8.6,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,11,0.0,10.64,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,8,0.0,7.5,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,8,0.0,9.5,4,authority:memorial sloan kettering|permutation-burst
nccih 5-htp safety interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,5,0.0,9.4,4,authority:nccih|permutation-burst
nccih 5-htp safety serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,5,0.0,10.2,4,authority:nccih|permutation-burst
memorial sloan kettering 5-htp interactions serotonin,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0.0,10.5,4,authority:memorial sloan kettering|permutation-burst
nih 5-htp safety serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0.0,8.5,4,authority:nih|permutation-burst
nih office of dietary supplements 5-htp safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0.0,7.5,5,authority:nih|long-query|permutation-burst
5-htp safety interactions serotonin syndrome official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,9.33,7,authority:official medical source|research-jargon:\bofficial\b|long-query|permutation-burst
memorial sloan kettering 5-htp interactions antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,8.0,4,authority:memorial sloan kettering|permutation-burst
nccih 5-htp safety antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,10.33,4,authority:nccih|permutation-burst
nih office of dietary supplements 5-htp safety interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,10.33,5,authority:nih|long-query|permutation-burst
nih office of dietary supplements 5-htp safety serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,6.0,5,authority:nih|long-query|permutation-burst
5-htp interaction antidepressants serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,7.0,4,authority:nih|permutation-burst
memorial sloan kettering 5-htp interactions antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,10.5,5,authority:memorial sloan kettering|long-query|permutation-burst
memorial sloan kettering 5-htp interactions serotonergic drugs,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,10.0,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,9.0,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp ssri serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,7.0,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp supplement interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,11.0,5,authority:memorial sloan kettering|long-query|permutation-burst
mskcc 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,7.5,4,authority:mskcc|permutation-burst
mskcc 5-htp serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,10.5,4,authority:mskcc|permutation-burst
nccih 5-htp safety serotonin antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,10.0,4,authority:nccih|permutation-burst
nccih vitamin d mood energy evidence,https://www.moodsupplement.net/blog/vitamin-d-winter-mood/,0,2,0.0,7.5,3,authority:nccih
nih 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,10.0,4,authority:nih|permutation-burst
nih 5-htp safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,9.5,4,authority:nih|permutation-burst
nih 5-htp safety serotonin syndrome interactions antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,6.5,4,authority:nih|permutation-burst
nih 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,7.5,4,authority:nih|permutation-burst
nih 5-htp supplement safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,10.0,4,authority:nih|permutation-burst
nih office of dietary supplements 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,10.5,5,authority:nih|long-query|permutation-burst
nih office of dietary supplements omega-3 fact sheet depression mood evidence,https://www.moodsupplement.net/blog/omega-3-brain-mood-evidence/,0,2,0.0,6.0,4,authority:nih|long-query
5-htp antidepressants serotonin syndrome memorial sloan kettering,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,7.0,4,authority:memorial sloan kettering|permutation-burst
5-htp antidepressants serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,8.0,4,authority:nih|permutation-burst
5-htp memorial sloan kettering interactions antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,11.0,5,authority:memorial sloan kettering|long-query|permutation-burst
5-htp safety serotonin syndrome antidepressants nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,9.0,4,authority:nih|permutation-burst
5-htp serotonin syndrome antidepressants authoritative source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,9.0,4,authority:authoritative source|permutation-burst
5-htp serotonin syndrome antidepressants official health source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,11.0,6,authority:official health source|research-jargon:\bofficial\b|permutation-burst
5-htp ssri serotonin syndrome case report pmc,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,6.0,6,authority:pmc|research-jargon:case report|permutation-burst
memorial sloan kettering 5-htp antidepressants interaction,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,8.0,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp interactions serotonergic,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,11.0,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp side effects serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,10.0,5,authority:memorial sloan kettering|long-query|permutation-burst
mskcc 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,6.0,4,authority:mskcc|permutation-burst
mskcc 5-htp interactions serotonin syndrome supplement,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,10.0,4,authority:mskcc|permutation-burst
mskcc 5-htp serotonin syndrome antidepressants supplement,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,7.0,4,authority:mskcc|permutation-burst
mskcc 5-htp supplement interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,7.0,4,authority:mskcc|permutation-burst
nccih 5-htp antidepressants interaction serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,11.0,4,authority:nccih|permutation-burst
