dimension,value,pages,pages_with_buy_intent,impressions,clicks,impressions_per_page,avg_position
type,comparison,15,15,1222,1,81.5,71.7
cluster,vitamin-d3,3,3,536,0,178.7,70.1
type,brand-comparison,2,2,491,3,245.5,29.4
cluster,ashwagandha,8,8,432,0,54.0,68.0
cluster,magnesium-glycinate,5,5,402,0,80.4,68.9
cluster,saffron-extract,5,5,393,3,78.6,17.4
type,timing,3,3,388,0,129.3,70.8
cluster,l-theanine,6,6,311,0,51.8,75.4
cluster,omega-3-fish-oil,5,5,209,0,41.8,71.3
cluster,rhodiola-rosea,4,4,122,0,30.5,73.1
type,pillar,2,2,97,0,48.5,76.0
type,dosage,6,6,93,0,15.5,66.9
type,duration,4,4,88,0,22.0,43.3
type,interaction,7,7,56,0,8.0,47.8
cluster,5-htp,4,4,30,0,7.5,53.5
cluster,b-complex,2,2,20,1,10.0,22.8
type,explainer,2,2,17,0,8.5,64.0
type,safety,2,2,4,0,2.0,26.0
cluster,l-tyrosine,1,1,1,0,1.0,50.0
