query,page,clicks,impressions,ctr,position,agent_score,agent_reasons
memorial sloan kettering 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,18,0.0,8.56,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,16,0.0,8.75,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,13,0.0,9.46,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,10,0.0,8.6,4,authority:memorial sloan kettering|permutation-burst
nih office of dietary supplements 5-htp safety interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,10,0.0,10.3,5,authority:nih|long-query|permutation-burst
nih 5-htp safety interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,9,0.0,9.44,4,authority:nih|permutation-burst
5-htp memorial sloan kettering interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,7,0.0,10.14,4,authority:memorial sloan kettering|permutation-burst
nih 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,6,0.0,8.0,4,authority:nih|permutation-burst
"""dietary supplement-drug interaction-induced serotonin syndrome"" 5-htp sertraline",https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,5,0.0,10.0,3,quoted-phrase|permutation-burst
5-htp safety interactions serotonin syndrome official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,5,0.0,8.2,7,authority:official medical source|research-jargon:\bofficial\b|long-query|permutation-burst
memorial sloan kettering 5-htp interactions serotonin,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,5,0.0,9.6,4,authority:memorial sloan kettering|permutation-burst
nih 5-htp safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,5,0.0,9.6,4,authority:nih|permutation-burst
nih office of dietary supplements 5-htp safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,5,0.0,8.2,5,authority:nih|long-query|permutation-burst
nccih 5-htp safety serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0.0,9.0,4,authority:nccih|permutation-burst
nih 5-htp safety serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0.0,9.5,4,authority:nih|permutation-burst
nih office of dietary supplements 5-htp safety serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0.0,10.5,5,authority:nih|long-query|permutation-burst
5-htp antidepressants serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,9.67,4,authority:nih|permutation-burst
5-htp serotonin syndrome antidepressants official health source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,9.67,6,authority:official health source|research-jargon:\bofficial\b|permutation-burst
memorial sloan kettering 5-htp interactions serotonergic,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,11.0,4,authority:memorial sloan kettering|permutation-burst
nccih 5-htp safety interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,10.0,4,authority:nccih|permutation-burst
nih 5-htp safety serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,8.67,4,authority:nih|permutation-burst
nih 5-htp supplement safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,7.0,4,authority:nih|permutation-burst
nih office dietary supplements 5-htp safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,9.67,5,authority:nih|long-query|permutation-burst
5-htp antidepressants serotonin syndrome memorial sloan kettering,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,7.0,4,authority:memorial sloan kettering|permutation-burst
5-htp interactions antidepressants serotonin syndrome memorial sloan kettering,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,6.5,5,authority:memorial sloan kettering|long-query|permutation-burst
5-htp interactions antidepressants serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,9.0,4,authority:nih|permutation-burst
5-htp interactions antidepressants serotonin syndrome official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,10.0,7,authority:official medical source|research-jargon:\bofficial\b|long-query|permutation-burst
5-htp serotonin syndrome antidepressants nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,10.5,4,authority:nih|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,10.5,4,authority:memorial sloan kettering|permutation-burst
nih 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,10.0,4,authority:nih|permutation-burst
nih 5-htp interactions antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,7.5,4,authority:nih|permutation-burst
nih 5-htp safety serotonin syndrome supplement,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,8.5,4,authority:nih|permutation-burst
nih office of dietary supplements 5-htp interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,9.5,5,authority:nih|long-query|permutation-burst
nih office of dietary supplements 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,7.0,5,authority:nih|long-query|permutation-burst
5-htp antidepressants serotonin syndrome authoritative source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,6.0,4,authority:authoritative source|permutation-burst
5-htp escitalopram serotonin syndrome authoritative source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,9.0,4,authority:authoritative source|permutation-burst
5-htp interactions serotonin syndrome memorial sloan kettering,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,10.0,4,authority:memorial sloan kettering|permutation-burst
5-htp memorial sloan kettering serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,6.0,4,authority:memorial sloan kettering|permutation-burst
