dimension,value,pages,pages_with_buy_intent,impressions,clicks,impressions_per_page,avg_position
type,comparison,15,15,1027,1,68.5,69.5
cluster,vitamin-d3,3,3,741,0,247.0,70.2
type,timing,3,3,601,0,200.3,71.2
type,brand-comparison,2,2,453,4,226.5,24.1
cluster,saffron-extract,5,5,408,4,81.6,17.6
cluster,magnesium-glycinate,6,6,404,0,67.3,66.1
cluster,ashwagandha,8,8,352,0,44.0,64.9
cluster,l-theanine,6,6,261,0,43.5,74.3
cluster,omega-3-fish-oil,6,6,122,0,20.3,72.8
cluster,rhodiola-rosea,4,4,103,0,25.8,70.8
type,dosage,7,7,100,0,14.3,66.5
type,pillar,1,1,87,0,87.0,76.0
type,duration,4,4,87,0,21.8,43.5
type,interaction,8,8,56,0,7.0,48.1
cluster,5-htp,3,3,22,0,7.3,55.1
type,explainer,3,3,17,0,5.7,63.5
cluster,b-complex,2,2,16,1,8.0,24.4
type,safety,1,1,2,0,2.0,42.5
cluster,l-tyrosine,1,1,1,0,1.0,50.0
