page,impressions,clicks,avg_position,queries,excluded_impressions
/blog/saffron-extract-vs-affron/,335,2,13.6,25,0
/blog/omega-3-fish-oil-vs-cod-liver-oil/,311,0,67.3,143,0
/blog/magnesium-glycinate-vs-chelate/,237,0,75.6,113,0
/blog/l-theanine-vs-caffeine/,210,0,84.0,100,0
/blog/vitamin-d3-vs-b12/,183,0,70.7,86,0
/blog/saffron-extract-vs-affron/#why-saffron-vs-affron-is-a-bit-of-a-trick-question,167,0,8.6,5,0
/blog/ashwagandha-vs-ksm-66/,163,0,68.3,86,0
/blog/saffron-extract-vs-affron/#the-evidence-sits-with-the-standardized-extracts,160,0,8.6,5,0
/blog/saffron-extract-vs-affron/#so-which-should-you-buy,148,0,8.6,5,0
/blog/saffron-extract-vs-affron/#what-each-label-actually-tells-you,148,0,8.6,5,0
/guides/gut-brain/,124,1,83.8,12,0
/blog/ashwagandha-vs-ginseng/,122,0,73.4,45,0
/products/,89,0,83.0,6,0
/blog/saffron-extract-vs-affron/#what-to-look-for-in-an-affron-saffron-extract-supplement,80,0,8.2,5,0
/blog/adaptogens-ashwagandha-rhodiola/,67,0,75.0,27,0
/blog/magnesium-glycinate-morning-or-night/,63,0,60.3,51,0
/blog/omega-3-fish-oil-vs-algae/,55,0,82.5,19,0
/blog/rhodiola-rosea-vs-ashwagandha-for-anxiety/,49,0,83.9,23,0
/products/probiotic-gut-brain/,39,0,74.9,5,0
/blog/quatrefolic-vs-metafolin/,35,1,10.4,8,0
/products/vitamin-d3/,32,0,88.3,2,0
/blog/5-htp-vs-ashwagandha/,28,0,58.4,16,0
/blog/rhodiola-dosage-cycling/,26,0,64.4,22,0
/blog/can-you-take-ashwagandha-with-lexapro/,20,0,51.6,16,0
/blog/saffron-extract-vs-ashwagandha/,19,0,65.0,12,0
/blog/glycine-vs-b12/,18,1,8.9,3,0
/blog/can-you-take-saffron-extract-with-lexapro/,16,0,37.7,12,5
/blog/ksm-66-vs-sensoril/,15,0,43.3,8,0
/blog/vitamin-d3-vs-calcitriol/,13,0,43.8,12,0
/blog/,13,0,80.2,10,0
/blog/lemon-balm-vs-ashwagandha/,12,0,61.8,7,0
/blog/how-long-does-saffron-extract-take-to-work/,12,0,24.7,10,0
/blog/ashwagandha-cortisol-research/,11,0,70.5,6,0
/blog/silexan-vs-lavender-oil/,9,1,8.1,3,0
/blog/magnesium-glycinate-vs-citrate/,9,0,74.4,4,0
/blog/saffron-pms-mood-swings/,8,0,71.0,7,0
/blog/traacs-vs-magnesium-bisglycinate/,8,0,32.4,5,0
/blog/shoden-vs-ksm-66/,7,0,12.4,3,0
/blog/rhodiola-rosea-vs-ashwagandha/,7,0,74.9,4,0
/products/saffron-extract/,5,0,61.6,4,0
/products/l-theanine/,5,0,76.2,5,0
/blog/b-vitamins-stress-adrenal/,3,0,54.3,2,0
/blog/l-theanine-dosage-anxiety/,3,0,82.7,1,0
/guides/anxiety/,3,0,51.7,2,0
/blog/5-htp-serotonin-safety/,2,0,9.5,2,107
/blog/l-theanine-for-sleep/,1,0,61.0,1,0
/get-help/,1,0,84.0,1,0
/blog/omega-3-brain-mood-evidence/,1,0,63.0,1,2
/blog/how-long-does-it-take-for-l-theanine-to-work/,1,0,30.0,1,0
/guides/low-mood/,1,0,95.0,1,0
/blog/valerian-root-vs-catnip/,1,0,80.0,1,0
/blog/vitamin-d3-morning-or-night/,1,0,72.0,1,0
/blog/can-you-take-magnesium-glycinate-and-melatonin-together/,0,0,,0,1
/blog/can-you-take-lemon-balm-with-levothyroxine/,0,0,,0,3
/blog/l-theanine-kids-teens-safety/,0,0,,0,1
/blog/magnesium-stress-sleep-guide/,0,0,,0,1
