query,page,clicks,impressions,ctr,position,agent_score,agent_reasons
memorial sloan kettering 5-htp serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0.0,11.0,3,authority:memorial sloan kettering
memorial sloan kettering 5-htp serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0.0,11.0,3,authority:memorial sloan kettering
nccih vitamin d mood energy evidence,https://www.moodsupplement.net/blog/vitamin-d-winter-mood/,0,2,0.0,7.5,3,authority:nccih
nih office of dietary supplements omega-3 fact sheet depression mood evidence,https://www.moodsupplement.net/blog/omega-3-brain-mood-evidence/,0,2,0.0,6.0,4,authority:nih|long-query
memorial sloan kettering 5-htp interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,11.0,3,authority:memorial sloan kettering
mskcc 5-htp interactions serotonin syndrome supplement,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,10.0,3,authority:mskcc
mskcc 5-htp serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,11.0,3,authority:mskcc
nccih omega-3 stress cortisol evidence,https://www.moodsupplement.net/blog/fish-oil-and-cortisol/,0,1,0.0,8.0,3,authority:nccih
nccih vitamin d depression seasonal affective disorder evidence,https://www.moodsupplement.net/blog/vitamin-d-winter-mood/,0,1,0.0,9.0,4,authority:nccih|long-query
nih 5-htp serotonin syndrome interactions antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,9.0,3,authority:nih
nih 5-htp supplement interactions antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0.0,9.0,3,authority:nih
nih office of dietary supplements omega-3 depression mood evidence,https://www.moodsupplement.net/blog/omega-3-brain-mood-evidence/,0,1,0.0,9.0,4,authority:nih|long-query
nih office of dietary supplements vitamin d mood evidence,https://www.moodsupplement.net/blog/vitamin-d-winter-mood/,0,1,0.0,10.0,4,authority:nih|long-query
