query,page,clicks,impressions,ctr,position,agent_score,agent_reasons
memorial sloan kettering 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,20,0,9.35,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,18,0,9.11,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,16,0,9.19,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,11,0,10.09,4,authority:memorial sloan kettering|permutation-burst
nih 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,10,0,7.5,4,authority:nih|permutation-burst
5-htp memorial sloan kettering interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,7,0,10.71,4,authority:memorial sloan kettering|permutation-burst
"""dietary supplement-drug interaction-induced serotonin syndrome"" 5-htp sertraline",https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,5,0,10,3,quoted-phrase|permutation-burst
nih office of dietary supplements 5-htp safety interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,5,0,10,5,authority:nih|long-query|permutation-burst
5-htp antidepressants serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,9.25,4,authority:nih|permutation-burst
5-htp safety interactions serotonin syndrome official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,8.75,7,authority:official medical source|research-jargon:\bofficial\b|long-query|permutation-burst
5-htp serotonin syndrome antidepressants official health source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,10.5,6,authority:official health source|research-jargon:\bofficial\b|permutation-burst
5-htp serotonin syndrome antidepressants official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,10.75,6,authority:official medical source|research-jargon:\bofficial\b|permutation-burst
nih 5-htp safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,9.5,4,authority:nih|permutation-burst
5-htp antidepressants serotonin syndrome memorial sloan kettering,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,8,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp interactions serotonin,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,10.33,4,authority:memorial sloan kettering|permutation-burst
nih 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,9.33,4,authority:nih|permutation-burst
nih 5-htp interactions antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,7.33,4,authority:nih|permutation-burst
nih office of dietary supplements 5-htp safety serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,11,5,authority:nih|long-query|permutation-burst
5-htp interactions antidepressants serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,9,4,authority:nih|permutation-burst
5-htp serotonin syndrome antidepressants nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,10.5,4,authority:nih|permutation-burst
5-htp serotonin syndrome interaction antidepressants official health source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,9.5,7,authority:official health source|research-jargon:\bofficial\b|long-query|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,10.5,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering saffron interactions antidepressants,https://www.moodsupplement.net/blog/can-you-take-saffron-extract-with-lexapro/,0,2,0,5,3,authority:memorial sloan kettering
