query,page,clicks,impressions,ctr,position,agent_score,agent_reasons
memorial sloan kettering 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,17,0,9.41,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,13,0,9.38,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,12,0,9.42,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,9,0,9.22,4,authority:memorial sloan kettering|permutation-burst
nih 5-htp safety interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,8,0,9.5,4,authority:nih|permutation-burst
5-htp memorial sloan kettering interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,7,0,10.14,4,authority:memorial sloan kettering|permutation-burst
nih 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,7,0,7.86,4,authority:nih|permutation-burst
5-htp safety interactions serotonin syndrome official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,6,0,8.33,7,authority:official medical source|research-jargon:\bofficial\b|long-query|permutation-burst
nih 5-htp safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,6,0,9.67,4,authority:nih|permutation-burst
nih office of dietary supplements 5-htp safety interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,6,0,10,5,authority:nih|long-query|permutation-burst
"""dietary supplement-drug interaction-induced serotonin syndrome"" 5-htp sertraline",https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,5,0,10,3,quoted-phrase|permutation-burst
5-htp serotonin syndrome antidepressants official health source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,10.5,6,authority:official health source|research-jargon:\bofficial\b|permutation-burst
5-htp serotonin syndrome antidepressants official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,10.75,6,authority:official medical source|research-jargon:\bofficial\b|permutation-burst
nih office of dietary supplements 5-htp safety serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,10.5,5,authority:nih|long-query|permutation-burst
5-htp antidepressants serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,9.67,4,authority:nih|permutation-burst
memorial sloan kettering 5-htp interactions serotonin,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,10.33,4,authority:memorial sloan kettering|permutation-burst
nccih 5-htp safety interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,10,4,authority:nccih|permutation-burst
nccih 5-htp safety serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,8.33,4,authority:nccih|permutation-burst
nih 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,9.33,4,authority:nih|permutation-burst
nih 5-htp safety serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,8.67,4,authority:nih|permutation-burst
nih office of dietary supplements 5-htp safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,7.67,5,authority:nih|long-query|permutation-burst
5-htp antidepressants serotonin syndrome memorial sloan kettering,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,7,4,authority:memorial sloan kettering|permutation-burst
5-htp interactions antidepressants serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,9,4,authority:nih|permutation-burst
5-htp serotonin syndrome antidepressants nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,10.5,4,authority:nih|permutation-burst
memorial sloan kettering 5-htp interactions serotonergic,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,11,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,10.5,4,authority:memorial sloan kettering|permutation-burst
nih 5-htp interactions antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,7.5,4,authority:nih|permutation-burst
nih 5-htp safety serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,9,4,authority:nih|permutation-burst
nih 5-htp supplement safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,7.5,4,authority:nih|permutation-burst
nih office dietary supplements 5-htp safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,9.5,5,authority:nih|long-query|permutation-burst
nih office of dietary supplements omega-3 fact sheet depression mood evidence,https://www.moodsupplement.net/blog/omega-3-brain-mood-evidence/,0,2,0,10,4,authority:nih|long-query
poison control 5-htp safety concerns serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,10,4,authority:poison control|permutation-burst
5-htp antidepressants serotonin syndrome authoritative source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,6,4,authority:authoritative source|permutation-burst
5-htp interactions antidepressants serotonin syndrome memorial sloan kettering,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,6,5,authority:memorial sloan kettering|long-query|permutation-burst
5-htp interactions antidepressants serotonin syndrome official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,9,7,authority:official medical source|research-jargon:\bofficial\b|long-query|permutation-burst
5-htp interactions serotonin syndrome memorial sloan kettering,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,10,4,authority:memorial sloan kettering|permutation-burst
5-htp memorial sloan kettering serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,6,4,authority:memorial sloan kettering|permutation-burst
5-htp safety interactions serotonin syndrome official health source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,7,authority:official health source|research-jargon:\bofficial\b|long-query|permutation-burst
5-htp safety serotonin syndrome antidepressants nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,5,4,authority:nih|permutation-burst
5-htp safety serotonin syndrome interactions official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,9,7,authority:official medical source|research-jargon:\bofficial\b|long-query|permutation-burst
5-htp safety serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,10,4,authority:nih|permutation-burst
5-htp serotonin syndrome antidepressants authoritative source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,7,4,authority:authoritative source|permutation-burst
5-htp serotonin syndrome antidepressants memorial sloan kettering,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,4,authority:memorial sloan kettering|permutation-burst
5-htp serotonin syndrome antidepressants official,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,3,research-jargon:\bofficial\b|permutation-burst
5-htp serotonin syndrome case report pmc,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,8,6,authority:pmc|research-jargon:case report|permutation-burst
5-htp serotonin syndrome interaction antidepressants official health source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,7,authority:official health source|research-jargon:\bofficial\b|long-query|permutation-burst
5-htp serotonin syndrome review pmc,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,8,6,authority:pmc|research-jargon:\breview\b|permutation-burst
5-htp serotonin syndrome ssri interaction official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,7,authority:official medical source|research-jargon:\bofficial\b|long-query|permutation-burst
5-htp sertraline serotonin syndrome case report pmc,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,6,6,authority:pmc|research-jargon:case report|permutation-burst
5-htp ssri serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,9,4,authority:nih|permutation-burst
ashwagandha examine.com,https://www.moodsupplement.net/products/ashwagandha/,0,1,0,71,3,authority:examine\.com
memorial sloan kettering 5-htp interactions ssris serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,8,5,authority:memorial sloan kettering|long-query|permutation-burst
memorial sloan kettering 5-htp serotonin interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,10,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome interaction,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,8,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp ssri serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,10,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp ssris serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,5,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp supplement interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,9,5,authority:memorial sloan kettering|long-query|permutation-burst
memorial sloan kettering lemon balm thyroid hormone interaction,https://www.moodsupplement.net/blog/can-you-take-lemon-balm-with-levothyroxine/,0,1,0,7,4,authority:memorial sloan kettering|long-query
memorial sloan kettering saffron interactions antidepressants,https://www.moodsupplement.net/blog/can-you-take-saffron-extract-with-lexapro/,0,1,0,1,3,authority:memorial sloan kettering
mskcc 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,10,4,authority:mskcc|permutation-burst
mskcc 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,9,4,authority:mskcc|permutation-burst
mskcc 5-htp serotonin syndrome interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,9,4,authority:mskcc|permutation-burst
mskcc 5-htp supplement interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,10,4,authority:mskcc|permutation-burst
nccih 5-htp safety antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,6,4,authority:nccih|permutation-burst
nccih 5-htp safety interactions serotonin,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,10,4,authority:nccih|permutation-burst
nccih 5-htp safety serotonin interactions,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,10,4,authority:nccih|permutation-burst
nccih 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,4,authority:nccih|permutation-burst
nih 5-htp safety serotonin syndrome interactions antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,8,4,authority:nih|permutation-burst
nih 5-htp safety serotonin syndrome supplement,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,6,4,authority:nih|permutation-burst
nih 5-htp serotonin syndrome supplement safety,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,4,authority:nih|permutation-burst
nih 5-htp supplement antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,8,4,authority:nih|permutation-burst
nih 5-htp supplement serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,4,authority:nih|permutation-burst
nih 5-htp supplement serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,4,authority:nih|permutation-burst
nih 5-htp supplement serotonin syndrome interactions antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,4,authority:nih|permutation-burst
