page,impressions,clicks,avg_position,queries,excluded_impressions
/blog/vitamin-d3-morning-or-night/,476,0,73.4,94,0
/blog/saffron-extract-vs-affron/,350,4,11.7,25,0
/blog/vitamin-d3-vs-b12/,217,0,68.8,79,0
/blog/l-theanine-vs-caffeine/,195,0,83.7,75,0
/blog/magnesium-glycinate-vs-chelate/,138,0,75.7,73,0
/blog/magnesium-glycinate-morning-or-night/,122,0,62.5,86,0
/blog/ashwagandha-vs-ginseng/,106,0,59.3,41,0
/blog/magnesium-glycinate-vs-bisglycinate/,106,0,60.8,37,0
/blog/ashwagandha-vs-ksm-66/,103,0,66.0,50,0
/guides/gut-brain/,98,0,81.1,8,0
/blog/adaptogens-ashwagandha-rhodiola/,87,0,76.0,31,0
/blog/rhodiola-dosage-cycling/,66,0,66.5,47,0
/blog/omega-3-fish-oil-vs-cod-liver-oil/,64,0,71.8,48,0
/blog/vitamin-d3-vs-calcitriol/,48,0,44.6,27,0
/blog/how-long-does-it-take-for-l-theanine-to-work/,48,0,42.4,36,0
/products/probiotic-gut-brain/,46,0,78.5,7,0
/blog/omega-3-fish-oil-vs-algae/,45,0,80.0,18,0
/blog/can-you-take-ashwagandha-with-lexapro/,35,0,50.2,26,0
/blog/saffron-extract-vs-ashwagandha/,33,0,58.7,13,0
/blog/how-long-does-magnesium-glycinate-take-to-work/,26,0,54.5,15,0
/blog/rhodiola-rosea-vs-ashwagandha-for-anxiety/,24,0,80.3,12,0
/products/vitamin-d3/,21,0,90.9,2,0
/blog/5-htp-vs-ashwagandha/,18,0,57.4,14,0
/blog/saffron-extract-vs-affron/#the-evidence-sits-with-the-standardized-extracts,16,0,9.9,3,0
/blog/saffron-extract-vs-affron/#why-saffron-vs-affron-is-a-bit-of-a-trick-question,16,0,9.9,3,0
/blog/saffron-extract-vs-affron/#so-which-should-you-buy,13,0,9.8,3,0
/blog/saffron-extract-vs-affron/#what-each-label-actually-tells-you,13,0,9.8,3,0
/blog/how-long-does-saffron-extract-take-to-work/,12,0,24.7,10,0
/blog/rhodiola-rosea-vs-ashwagandha/,12,0,77.8,7,0
/blog/glycine-vs-b12/,11,1,12.7,3,0
/blog/ashwagandha-cortisol-research/,11,0,71.2,7,0
/blog/glycine-dosage/,10,0,62.4,8,0
/products/l-theanine/,10,0,80.3,3,0
/products/,9,0,89.3,3,0
/blog/l-theanine-dosage-anxiety/,9,0,65.2,9,0
/blog/lemon-balm-vs-ashwagandha/,8,0,63.6,5,0
/blog/saffron-pms-mood-swings/,8,0,74.4,7,0
/blog/can-you-take-omega-3-fish-oil-with-statins/,7,0,46.3,5,0
/blog/b-vitamins-stress-adrenal/,5,0,50.2,2,0
/blog/can-you-take-saffron-extract-with-lexapro/,5,0,45.4,4,1
/blog/l-theanine-for-sleep/,4,0,62.5,4,0
/blog/best-time-to-take-fish-oil/,3,0,60.3,3,0
/blog/can-you-take-l-theanine-with-lexapro/,3,0,37.7,3,0
/blog/can-you-take-5-htp-with-adderall/,2,0,8.5,2,0
/blog/l-theanine-kids-teens-safety/,2,0,42.5,2,0
/blog/magnesium-glycinate-vs-citrate/,2,0,78.5,1,0
/blog/l-tryptophan-and-melatonin-together/,2,0,81.0,1,0
/products/omega-3-fish-oil/,2,0,68.5,2,0
/blog/omega-3-dosage-for-mood/,2,0,68.5,2,0
/products/saffron-extract/,1,0,61.0,1,0
/blog/can-you-take-holy-basil-with-prozac/,1,0,46.0,1,0
/blog/how-long-does-rhodiola-rosea-take-to-work/,1,0,36.0,1,0
/blog/fish-oil-and-cortisol/,1,0,46.0,1,0
/guides/focus/,1,0,45.0,1,0
/guides/anxiety/,1,0,64.0,1,0
/blog/silexan-lavender-dosage/,1,0,66.0,1,0
/products/ashwagandha/,1,0,80.0,1,1
/guides/low-mood/,1,0,95.0,1,0
/blog/can-you-take-l-tyrosine-with-adderall/,1,0,50.0,1,0
/blog/5-htp-serotonin-safety/,0,0,,0,195
/blog/can-you-take-lemon-balm-with-levothyroxine/,0,0,,0,1
/blog/omega-3-brain-mood-evidence/,0,0,,0,2
