page,impressions,clicks,avg_position,queries,excluded_impressions
/blog/saffron-extract-vs-affron/,324,1,12.5,26,0
/blog/magnesium-glycinate-vs-chelate/,246,0,75.2,123,0
/blog/omega-3-fish-oil-vs-cod-liver-oil/,240,0,67.8,127,0
/blog/l-theanine-vs-caffeine/,230,0,83.2,101,0
/blog/vitamin-d3-vs-b12/,227,0,70.1,93,0
/blog/ashwagandha-vs-ksm-66/,178,0,69.2,90,0
/guides/gut-brain/,122,1,83.7,12,0
/blog/magnesium-glycinate-morning-or-night/,122,0,62.5,86,0
/blog/ashwagandha-vs-ginseng/,122,0,70.2,49,0
/blog/saffron-extract-vs-affron/#why-saffron-vs-affron-is-a-bit-of-a-trick-question,105,0,8.9,5,0
/blog/saffron-extract-vs-affron/#the-evidence-sits-with-the-standardized-extracts,103,0,8.8,5,0
/blog/saffron-extract-vs-affron/#so-which-should-you-buy,91,0,8.9,5,0
/blog/saffron-extract-vs-affron/#what-each-label-actually-tells-you,91,0,8.9,5,0
/blog/adaptogens-ashwagandha-rhodiola/,79,0,76.3,31,0
/blog/omega-3-fish-oil-vs-algae/,67,0,81.4,20,0
/blog/rhodiola-dosage-cycling/,67,0,66.6,47,0
/products/,64,0,83.3,6,0
/blog/rhodiola-rosea-vs-ashwagandha-for-anxiety/,50,0,82.8,24,0
/products/probiotic-gut-brain/,41,0,77.1,7,0
/blog/vitamin-d3-vs-calcitriol/,40,0,45.0,24,0
/blog/can-you-take-ashwagandha-with-lexapro/,36,0,50.3,26,0
/blog/vitamin-d3-morning-or-night/,32,0,80.1,14,0
/products/vitamin-d3/,29,0,91.0,2,0
/blog/5-htp-vs-ashwagandha/,27,0,59.0,17,0
/blog/saffron-extract-vs-ashwagandha/,23,0,64.2,12,0
/blog/glycine-vs-b12/,16,1,9.8,3,0
/blog/saffron-extract-vs-affron/#what-to-look-for-in-an-affron-saffron-extract-supplement,15,0,8.3,4,0
/blog/how-long-does-magnesium-glycinate-take-to-work/,15,0,55.6,7,0
/blog/lemon-balm-vs-ashwagandha/,13,0,63.0,7,0
/blog/,13,0,80.2,10,0
/blog/can-you-take-saffron-extract-with-lexapro/,12,0,45.8,9,4
/blog/how-long-does-saffron-extract-take-to-work/,12,0,24.7,10,0
/blog/ashwagandha-cortisol-research/,11,0,70.5,6,0
/blog/saffron-pms-mood-swings/,10,0,72.3,8,0
/blog/magnesium-glycinate-vs-citrate/,8,0,75.5,3,0
/blog/rhodiola-rosea-vs-ashwagandha/,7,0,77.9,4,0
/blog/b-vitamins-stress-adrenal/,5,0,50.2,2,0
/products/saffron-extract/,4,0,55.2,3,0
/products/l-theanine/,4,0,74.5,4,0
/blog/l-theanine-dosage-anxiety/,3,0,82.7,1,0
/guides/anxiety/,3,0,51.7,2,0
/blog/can-you-take-l-theanine-with-lexapro/,3,0,37.7,3,0
/blog/5-htp-serotonin-safety/,2,0,9.5,2,161
/blog/l-theanine-kids-teens-safety/,2,0,42.5,2,1
/products/omega-3-fish-oil/,2,0,68.5,2,0
/blog/can-you-take-5-htp-with-adderall/,1,0,8.0,1,0
/blog/l-theanine-for-sleep/,1,0,61.0,1,0
/get-help/,1,0,84.0,1,0
/blog/omega-3-brain-mood-evidence/,1,0,63.0,1,2
/blog/quatrefolic-vs-metafolin/,1,0,8.0,1,0
/blog/how-long-does-it-take-for-l-theanine-to-work/,1,0,30.0,1,0
/blog/silexan-lavender-dosage/,1,0,66.0,1,0
/products/ashwagandha/,1,0,80.0,1,1
/guides/low-mood/,1,0,95.0,1,0
/blog/can-you-take-magnesium-glycinate-and-melatonin-together/,0,0,,0,1
/blog/can-you-take-lemon-balm-with-levothyroxine/,0,0,,0,3
