query,page,clicks,impressions,ctr,position,agent_score,agent_reasons
memorial sloan kettering 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,15,0,8.53,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,10,0,11,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,10,0,9,4,authority:memorial sloan kettering|permutation-burst
memorial sloan kettering 5-htp serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,6,0,8.67,4,authority:memorial sloan kettering|permutation-burst
%memorial sloan kettering 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,10,4,authority:memorial sloan kettering|permutation-burst
site.mskcc.org 5-htp antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,4,0,8.75,4,authority:mskcc|permutation-burst
"%site.mskcc.org ""5-htp"" ""serotonin""",https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,6,6,authority:mskcc|quoted-phrase|permutation-burst
5-htp memorial sloan kettering serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,8.33,4,authority:memorial sloan kettering|permutation-burst
nih 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,3,0,6.67,4,authority:nih|permutation-burst
5-htp safety interactions serotonin syndrome official medical source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,8,7,authority:official medical source|research-jargon:\bofficial\b|long-query|permutation-burst
nccih 5-htp safety antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,2,0,9.5,4,authority:nccih|permutation-burst
"+site.mskcc.org ""5-htp"" ""serotonin""",https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,6,6,authority:mskcc|quoted-phrase|permutation-burst
5-htp antidepressants serotonin syndrome memorial sloan kettering,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,10,4,authority:memorial sloan kettering|permutation-burst
5-htp antidepressants serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,8,4,authority:nih|permutation-burst
5-htp escitalopram serotonin syndrome authoritative source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,9,4,authority:authoritative source|permutation-burst
5-htp interactions antidepressants serotonin syndrome nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,7,4,authority:nih|permutation-burst
5-htp memorial sloan kettering interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,4,authority:memorial sloan kettering|permutation-burst
5-htp safety serotonin syndrome antidepressants nih,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,4,4,authority:nih|permutation-burst
5-htp serotonin syndrome interaction antidepressants official health source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,8,7,authority:official health source|research-jargon:\bofficial\b|long-query|permutation-burst
5-htp sertraline interaction serotonin syndrome official,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,9,3,research-jargon:\bofficial\b|permutation-burst
5-htp ssri interaction serotonin syndrome official health source,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,7,authority:official health source|research-jargon:\bofficial\b|long-query|permutation-burst
5-htp ssri serotonin syndrome case report pmc,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,5,6,authority:pmc|research-jargon:case report|permutation-burst
ashwagandha vs rhodiola for mood and depression clinical trials,https://www.moodsupplement.net/blog/adaptogens-ashwagandha-rhodiola/,0,1,0,57,3,research-jargon:clinical trial|long-query
drugs.com magnesium glycinate melatonin interaction,https://www.moodsupplement.net/blog/can-you-take-magnesium-glycinate-and-melatonin-together/,0,1,0,10,3,authority:drugs\.com
memorial sloan kettering lemon balm interactions thyroid sedatives,https://www.moodsupplement.net/blog/can-you-take-lemon-balm-with-levothyroxine/,0,1,0,3,4,authority:memorial sloan kettering|long-query
memorial sloan kettering lemon balm thyroid interaction,https://www.moodsupplement.net/blog/can-you-take-lemon-balm-with-levothyroxine/,0,1,0,8,3,authority:memorial sloan kettering
memorial sloan kettering saffron antidepressants interaction,https://www.moodsupplement.net/blog/can-you-take-saffron-extract-with-lexapro/,0,1,0,2,3,authority:memorial sloan kettering
memorial sloan kettering saffron herb interactions antidepressants,https://www.moodsupplement.net/blog/can-you-take-saffron-extract-with-lexapro/,0,1,0,3,3,authority:memorial sloan kettering
memorial sloan kettering saffron interactions antidepressants,https://www.moodsupplement.net/blog/can-you-take-saffron-extract-with-lexapro/,0,1,0,9,3,authority:memorial sloan kettering
memorial sloan kettering saffron interactions antidepressants serotonin,https://www.moodsupplement.net/blog/can-you-take-saffron-extract-with-lexapro/,0,1,0,7,3,authority:memorial sloan kettering
mskcc 5-htp serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,7,4,authority:mskcc|permutation-burst
mskcc 5-htp serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,10,4,authority:mskcc|permutation-burst
nccih 5-htp antidepressants interaction serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,8,4,authority:nccih|permutation-burst
nccih 5-htp safety interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,4,authority:nccih|permutation-burst
nccih 5-htp safety serotonin syndrome evidence,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,4,authority:nccih|permutation-burst
nccih l-theanine safety children,https://www.moodsupplement.net/blog/l-theanine-kids-teens-safety/,0,1,0,8,3,authority:nccih
nih 5-htp interactions antidepressants serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,7,4,authority:nih|permutation-burst
nih 5-htp safety interactions serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,6,4,authority:nih|permutation-burst
nih 5-htp safety serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,9,4,authority:nih|permutation-burst
nih 5-htp supplement safety serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,11,4,authority:nih|permutation-burst
nih office of dietary supplements 5-htp safety serotonin syndrome antidepressants,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,8,5,authority:nih|long-query|permutation-burst
poison control 5-htp safety concerns serotonin syndrome,https://www.moodsupplement.net/blog/5-htp-serotonin-safety/,0,1,0,10,4,authority:poison control|permutation-burst
site.pubmed.ncbi.nlm.nih.gov magnesium bisglycinate sleep randomized placebo 2025,https://www.moodsupplement.net/blog/magnesium-stress-sleep-guide/,0,1,0,2,3,authority:nih
