dimension,value,pages,pages_with_buy_intent,impressions,clicks,impressions_per_page,avg_position
type,comparison,16,16,1283,2,80.2,72.3
type,brand-comparison,6,6,563,3,93.8,30.3
cluster,ashwagandha,9,9,426,1,47.3,66.8
cluster,saffron-extract,5,5,390,2,78.0,18.6
cluster,omega-3-fish-oil,3,3,367,0,122.3,69.6
cluster,magnesium-glycinate,5,5,318,0,63.6,71.4
cluster,l-theanine,4,4,215,0,53.8,83.6
cluster,vitamin-d3,3,3,197,0,65.7,69.0
cluster,rhodiola-rosea,3,3,82,0,27.3,77.0
type,pillar,2,2,68,0,34.0,74.8
type,timing,2,2,64,0,32.0,60.5
cluster,b-complex,3,3,56,2,18.7,12.3
type,dosage,4,4,38,0,9.5,67.1
type,interaction,2,2,36,0,18.0,45.4
cluster,5-htp,2,2,30,0,15.0,55.1
type,explainer,2,2,14,0,7.0,67.1
type,duration,2,2,13,0,6.5,25.1
type,safety,1,1,2,0,2.0,9.5
