dimension,value,pages,pages_with_buy_intent,impressions,clicks,impressions_per_page,avg_position
type,comparison,16,16,1208,2,75.5,71.3
type,brand-comparison,6,6,590,3,98.3,26.8
cluster,saffron-extract,5,5,372,2,74.4,16.9
cluster,ashwagandha,9,9,364,1,40.4,63.5
cluster,omega-3-fish-oil,4,4,342,0,85.5,67.8
cluster,magnesium-glycinate,4,4,340,0,85.0,73.0
cluster,vitamin-d3,1,1,171,0,171.0,66.8
cluster,l-theanine,4,4,160,0,40.0,83.8
cluster,b-complex,4,4,81,2,20.2,13.7
type,pillar,2,2,60,0,30.0,75.1
cluster,rhodiola-rosea,3,3,49,0,16.3,84.7
cluster,5-htp,2,2,29,0,14.5,50.3
type,interaction,2,2,17,0,8.5,30.9
type,explainer,3,3,14,0,4.7,67.9
type,duration,3,3,13,0,4.3,46.9
type,dosage,3,3,6,0,2.0,74.3
type,safety,2,2,3,0,1.5,16.7
cluster,probiotic-gut-brain,1,1,3,0,3.0,11.3
