page,impressions,clicks,avg_position,queries,excluded_impressions
/blog/saffron-extract-vs-affron/,339,2,14.1,26,0
/blog/omega-3-fish-oil-vs-cod-liver-oil/,302,0,66.8,128,0
/blog/saffron-extract-vs-affron/#why-saffron-vs-affron-is-a-bit-of-a-trick-question,220,0,8.1,5,0
/blog/magnesium-glycinate-vs-chelate/,218,0,75.2,99,0
/blog/saffron-extract-vs-affron/#the-evidence-sits-with-the-standardized-extracts,203,0,8.2,5,0
/blog/saffron-extract-vs-affron/#so-which-should-you-buy,193,0,8.2,5,0
/blog/saffron-extract-vs-affron/#what-each-label-actually-tells-you,193,0,8.2,5,0
/blog/vitamin-d3-vs-b12/,171,0,66.8,70,0
/blog/l-theanine-vs-caffeine/,155,0,84.5,70,0
/blog/saffron-extract-vs-affron/#what-to-look-for-in-an-affron-saffron-extract-supplement,139,0,7.7,5,0
/blog/ashwagandha-vs-ksm-66/,131,0,67.1,65,0
/guides/gut-brain/,116,1,82.9,16,0
/products/,112,0,82.8,7,0
/blog/magnesium-glycinate-vs-citrate/,111,0,72.7,24,0
/blog/ashwagandha-vs-ginseng/,101,0,74.3,34,0
/blog/quatrefolic-vs-metafolin/,65,1,12.1,9,0
/blog/adaptogens-ashwagandha-rhodiola/,59,0,75.3,27,1
/blog/rhodiola-rosea-vs-ashwagandha-for-anxiety/,46,0,85.6,19,0
/products/probiotic-gut-brain/,40,0,73.0,3,0
/products/vitamin-d3/,30,0,87.5,2,0
/blog/omega-3-fish-oil-vs-algae/,28,0,85.2,13,0
/blog/5-htp-vs-ashwagandha/,27,0,53.4,14,0
/blog/shoden-vs-ksm-66/,27,0,13.1,7,0
/blog/ksm-66-vs-sensoril/,19,0,44.5,9,0
/blog/,17,0,82.8,13,0
/blog/can-you-take-saffron-extract-with-lexapro/,16,0,29.4,11,4
/blog/saffron-extract-vs-ashwagandha/,14,0,63.6,8,0
/blog/silexan-vs-lavender-oil/,12,1,12.4,5,0
/blog/glycine-vs-b12/,11,1,2.8,1,0
/blog/how-long-does-omega-3-fish-oil-take-to-work/,11,0,51.8,10,0
/blog/ashwagandha-cortisol-research/,9,0,73.4,5,0
/blog/traacs-vs-magnesium-bisglycinate/,9,0,30.0,5,0
/products/saffron-extract/,7,0,62.9,4,0
/products/l-theanine/,7,0,78.6,7,0
/blog/lemon-balm-vs-ashwagandha/,5,0,62.0,3,0
/blog/b-vitamins-stress-adrenal/,4,0,56.5,2,0
/blog/l-theanine-dosage-anxiety/,3,0,82.7,1,0
/guides/anxiety/,3,0,51.7,2,0
/blog/probiotic-vs-fiber/,3,0,11.3,1,0
/blog/5-htp-serotonin-safety/,2,0,9.5,2,84
/blog/rhodiola-rosea-vs-ashwagandha/,2,0,71.0,2,0
/blog/saffron-pms-mood-swings/,2,0,64.0,2,0
/blog/valerian-root-vs-catnip/,2,0,45.5,2,0
/blog/can-you-take-ashwagandha-with-lexapro/,1,0,55.0,1,0
/blog/b-vitamins-energy-mood/,1,0,64.0,1,0
/blog/l-theanine-kids-teens-safety/,1,0,31.0,1,1
/get-help/,1,0,84.0,1,0
/blog/omega-3-brain-mood-evidence/,1,0,63.0,1,0
/blog/how-long-does-it-take-for-l-theanine-to-work/,1,0,30.0,1,0
/blog/rhodiola-dosage-cycling/,1,0,70.0,1,0
/blog/how-long-does-saffron-extract-take-to-work/,1,0,10.0,1,0
/blog/can-you-take-magnesium-glycinate-and-melatonin-together/,0,0,,0,1
/blog/can-you-take-lemon-balm-with-levothyroxine/,0,0,,0,2
/blog/magnesium-stress-sleep-guide/,0,0,,0,1
